"","qser_no","survey_year","ID","k_group","problem","relationship","gender","age","edu","education","work","marstat","children","livstat","livwhere","meet","tele","adl_who_help","iadl_who_help"
"96","B2633",1996,"B2633_95",NA,0,95,2,23,9,9,4,1,0,0,0,0,0,88,35
"97","B2637",1996,"B2637_93",NA,0,93,2,38,6,6,1,1,2,0,0,0,0,88,99
"98","B2671",1996,"B2671_91",NA,0,91,2,41,16,16,1,1,1,0,0,0,0,88,2
"99","B2682",1996,"B2682_94",NA,0,94,2,40,6,6,4,1,2,0,0,0,0,88,0
"100","B269",1996,"B269_91",NA,0,91,2,33,9,9,4,1,2,0,0,0,0,88,43
"101","B2693",1996,"B2693_91",NA,0,91,2,30,16,16,1,1,1,0,0,0,0,88,88
"102","B2698",1996,"B2698_93",NA,0,93,2,27,9,9,1,1,1,0,0,0,0,88,88
"103","B2708",1996,"B2708_91",NA,0,91,2,48,6,6,4,1,3,0,0,0,0,88,31
"104","B2714",1996,"B2714_91",NA,0,91,2,41,16,16,1,1,3,0,0,0,0,88,88
"105","B2717",1996,"B2717_91",NA,0,91,2,56,0,0,4,1,4,0,0,0,0,88,31
"106","B2739",1996,"B2739_91",NA,0,91,2,50,6,6,1,1,4,0,0,0,0,88,88
"107","B2745",1996,"B2745_95",NA,0,95,2,48,12,12,4,1,2,0,0,0,0,88,95
"108","B2766",1996,"B2766_93",NA,0,93,2,35,9,9,1,1,0,0,0,0,0,88,31
"109","B279",1996,"B279_91",NA,0,91,2,54,9,9,4,1,5,0,0,0,0,88,35
"110","B2814",1996,"B2814_93",NA,0,93,2,32,12,12,1,1,2,0,0,0,0,88,93
"111","B2840",1996,"B2840_92",NA,0,92,2,98,0,0,4,1,3,0,0,0,0,88,92
"112","B2845",1996,"B2845_95",NA,0,95,2,25,6,6,4,1,0,0,0,0,0,88,35
"113","B2924",1996,"B2924_92",NA,0,92,2,45,0,0,4,1,3,0,0,0,0,88,88
"114","B2926",1996,"B2926_92",NA,0,92,2,34,9,9,1,1,1,0,0,0,0,88,2
"115","B2944",1996,"B2944_91",NA,0,91,2,53,0,0,1,1,7,0,0,0,0,88,2
"116","B2946",1996,"B2946_91",NA,0,91,2,38,6,6,1,1,3,0,0,0,0,88,88
"117","B2950",1996,"B2950_91",NA,0,91,2,58,0,0,1,1,3,0,0,0,0,88,31
"118","B2985",1996,"B2985_91",NA,0,91,2,48,6,6,1,1,4,0,0,0,0,88,88
"119","B2998",1996,"B2998_95",NA,0,95,2,48,9,9,4,1,3,0,0,0,0,0,35
"120","B301",1996,"B301_91",NA,0,91,2,40,12,12,4,1,0,0,0,0,0,88,88
"121","B3025",1996,"B3025_92",NA,0,92,2,25,12,12,7,1,1,0,0,0,0,88,88
"122","B3031",1996,"B3031_94",NA,0,94,2,49,6,6,4,1,3,0,0,0,0,88,94
"123","B3122",1996,"B3122_91",NA,0,91,2,24,12,12,4,1,1,0,0,0,0,88,88
"124","B3126",1996,"B3126_91",NA,0,91,2,44,6,6,4,1,4,0,0,0,0,88,88
"125","B3134",1996,"B3134_91",NA,0,91,2,98,12,12,1,1,3,0,0,0,0,88,0
"126","B3138",1996,"B3138_92",NA,0,92,2,45,9,9,1,1,4,0,0,0,0,88,92
"127","B3151",1996,"B3151_91",NA,0,91,2,25,12,12,1,1,1,0,0,0,0,88,0
"128","B3156",1996,"B3156_91",NA,0,91,2,37,6,6,4,1,2,0,0,0,0,88,31
"129","B3168",1996,"B3168_92",NA,0,92,2,24,12,12,7,1,1,7,4,5,2,88,88
"130","B3175",1996,"B3175_92",NA,0,92,2,35,9,9,1,1,1,0,0,0,0,88,88
"131","B3177",1996,"B3177_91",NA,0,91,2,47,16,16,1,1,2,0,0,0,0,88,54
"132","B3194",1996,"B3194_91",NA,0,91,2,47,6,6,1,1,4,0,0,0,0,88,88
"133","B3208",1996,"B3208_91",NA,0,91,2,45,6,6,7,1,2,0,0,0,0,88,88
"134","B3231",1996,"B3231_91",NA,0,91,2,47,6,6,1,1,3,0,0,0,0,88,88
"135","B3242",1996,"B3242_92",NA,0,92,2,35,12,12,1,1,0,0,0,0,0,88,88
"136","B3253",1996,"B3253_91",NA,0,91,2,42,9,9,4,1,4,0,0,0,0,88,88
"137","B3281",1996,"B3281_92",NA,0,92,2,34,6,6,1,1,2,0,0,0,0,88,88
"138","B3310",1996,"B3310_91",NA,0,91,2,33,8,9,1,1,1,0,0,0,0,88,2
"139","B3314",1996,"B3314_91",NA,0,91,2,58,0,0,4,1,4,0,0,0,0,88,2
"140","B3319",1996,"B3319_92",NA,0,92,2,58,0,0,1,1,3,0,0,0,0,88,32
"141","B3324",1996,"B3324_94",NA,0,94,2,41,6,6,1,1,3,0,0,0,0,88,52
"142","B3325",1996,"B3325_91",NA,0,91,2,64,6,6,4,1,4,0,0,0,0,88,46
"143","B3333",1996,"B3333_93",NA,0,93,2,38,6,6,1,1,3,0,0,0,0,88,88
"144","B3350",1996,"B3350_93",NA,0,93,2,34,6,6,1,1,3,0,0,0,0,33,33
"145","B3367",1996,"B3367_91",NA,0,91,2,39,6,6,1,1,1,0,0,0,0,88,91
"146","B3371",1996,"B3371_91",NA,0,91,2,27,12,12,1,1,2,0,0,0,0,88,88
"147","B340",1996,"B340_91",NA,0,91,2,39,12,12,4,1,2,0,0,0,0,88,88
"148","B3400",1996,"B3400_93",NA,0,93,2,37,9,9,1,1,2,0,0,0,0,88,88
"149","B3438",1996,"B3438_94",NA,0,94,2,37,6,6,4,1,3,0,0,0,0,88,88
"150","B346",1996,"B346_91",NA,0,91,2,53,2,6,4,1,4,0,0,0,0,88,88
"151","B3487",1996,"B3487_93",NA,0,93,2,29,12,12,1,1,3,0,0,0,0,88,88
"152","B3492",1996,"B3492_91",NA,0,91,2,38,12,12,4,1,2,0,0,0,0,88,88
"153","B3498",1996,"B3498_92",NA,0,92,2,31,12,12,4,1,1,0,0,0,0,88,88
"154","B3549",1996,"B3549_91",NA,0,91,2,48,16,16,1,1,3,0,0,0,0,31,31
"155","B3574",1996,"B3574_91",NA,0,91,2,31,12,12,4,1,1,0,0,0,0,88,88
"156","B3575",1996,"B3575_91",NA,0,91,2,31,12,12,4,1,1,0,0,0,0,88,31
"157","B3586",1996,"B3586_92",NA,0,92,2,46,6,6,4,1,1,0,0,0,0,88,54
"158","B361",1996,"B361_93",NA,0,93,2,39,16,16,1,1,2,0,0,0,0,88,88
"159","B3627",1996,"B3627_95",NA,0,95,2,40,12,12,4,1,3,0,0,0,0,88,95
"160","B3632",1996,"B3632_91",NA,0,91,2,45,6,6,4,1,2,0,0,0,0,88,88
"161","B3667",1996,"B3667_92",NA,0,92,2,38,12,12,1,1,0,0,0,0,0,88,92
"162","B3683",1996,"B3683_93",NA,0,93,2,37,12,12,1,1,1,0,0,0,0,88,88
"163","B3694",1996,"B3694_91",NA,0,91,2,42,9,9,4,1,3,0,0,0,0,88,88
"164","B3695",1996,"B3695_92",NA,0,92,2,35,12,12,4,1,2,0,0,0,0,88,88
"165","B3706",1996,"B3706_93",NA,0,93,2,31,12,12,4,1,0,0,0,0,0,88,0
"166","B3708",1996,"B3708_91",NA,0,91,2,56,6,6,4,1,4,0,0,0,0,88,88
